FAAS SIMULATION SUMMARY
======================

Report generated: 2025-07-21 16:12:25

Topology Overview:
  Number of nodes: 368
  Number of functions: 15
  Number of images: 5

Node Distribution:
  Total bytes transferred: 98663.33 MB
  Transfer duration: 144519.01 s

Network Flows:
  nuc_47 → coral_0: 98.23 MB in 398.12 s
  nuc_47 → coral_1: 98.23 MB in 397.82 s
  nuc_47 → coral_10: 45.78 MB in 37.33 s
  nuc_47 → coral_8: 45.78 MB in 229.17 s
  nuc_47 → coral_9: 144.00 MB in 354.70 s
  nuc_47 → nano_0: 98.23 MB in 3.42 s
  nuc_47 → nano_1: 98.23 MB in 3.47 s
  nuc_47 → nuc_0: 442.50 MB in 1125.15 s
  nuc_47 → nuc_1: 442.50 MB in 1120.09 s
  nuc_47 → nuc_10: 442.50 MB in 1400.34 s
  nuc_47 → nuc_11: 442.50 MB in 1396.56 s
  nuc_47 → nuc_12: 442.50 MB in 1456.04 s
  nuc_47 → nuc_13: 442.50 MB in 1450.60 s
  nuc_47 → nuc_14: 442.50 MB in 1504.44 s
  nuc_47 → nuc_15: 442.50 MB in 1498.63 s
  nuc_47 → nuc_16: 442.50 MB in 1550.68 s
  nuc_47 → nuc_17: 442.50 MB in 1551.73 s
  nuc_47 → nuc_18: 442.50 MB in 1606.79 s
  nuc_47 → nuc_19: 442.50 MB in 1593.45 s
  nuc_47 → nuc_2: 442.50 MB in 1186.46 s
  nuc_47 → nuc_20: 442.50 MB in 1650.67 s
  nuc_47 → nuc_21: 442.50 MB in 1649.52 s
  nuc_47 → nuc_22: 442.50 MB in 1693.41 s
  nuc_47 → nuc_23: 442.50 MB in 1685.63 s
  nuc_47 → nuc_24: 442.50 MB in 1739.28 s
  nuc_47 → nuc_25: 442.50 MB in 1735.88 s
  nuc_47 → nuc_26: 442.50 MB in 1786.39 s
  nuc_47 → nuc_27: 442.50 MB in 1782.27 s
  nuc_47 → nuc_28: 442.50 MB in 1812.95 s
  nuc_47 → nuc_29: 442.50 MB in 1812.23 s
  nuc_47 → nuc_3: 442.50 MB in 1183.20 s
  nuc_47 → nuc_30: 442.50 MB in 1851.20 s
  nuc_47 → nuc_31: 442.50 MB in 1849.17 s
  nuc_47 → nuc_32: 442.50 MB in 1877.83 s
  nuc_47 → nuc_33: 442.50 MB in 1878.46 s
  nuc_47 → nuc_34: 442.50 MB in 1903.64 s
  nuc_47 → nuc_35: 442.50 MB in 1900.62 s
  nuc_47 → nuc_36: 442.50 MB in 1921.22 s
  nuc_47 → nuc_37: 442.50 MB in 1922.32 s
  nuc_47 → nuc_38: 442.50 MB in 1938.93 s
  nuc_47 → nuc_39: 442.50 MB in 1898.02 s
  nuc_47 → nuc_4: 442.50 MB in 1233.26 s
  nuc_47 → nuc_40: 442.50 MB in 1952.53 s
  nuc_47 → nuc_41: 442.50 MB in 1951.49 s
  nuc_47 → nuc_42: 442.50 MB in 1956.60 s
  nuc_47 → nuc_43: 442.50 MB in 1960.82 s
  nuc_47 → nuc_44: 221.25 MB in 998.04 s
  nuc_47 → nuc_45: 221.25 MB in 994.86 s
  nuc_47 → nuc_46: 221.25 MB in 1013.44 s
  nuc_47 → nuc_48: 221.25 MB in 1025.98 s
  nuc_47 → nuc_49: 221.25 MB in 1025.76 s
  nuc_47 → nuc_5: 442.50 MB in 1233.96 s
  nuc_47 → nuc_50: 221.25 MB in 1040.33 s
  nuc_47 → nuc_51: 221.25 MB in 1036.31 s
  nuc_47 → nuc_6: 442.50 MB in 1292.47 s
  nuc_47 → nuc_7: 442.50 MB in 1285.70 s
  nuc_47 → nuc_8: 442.50 MB in 1347.44 s
  nuc_47 → nuc_9: 442.50 MB in 1343.41 s
  nuc_47 → nx_0: 144.00 MB in 191.18 s
  nuc_47 → nx_1: 144.00 MB in 202.36 s
  nuc_47 → nx_2: 221.25 MB in 14.19 s
  nuc_47 → nx_3: 267.03 MB in 232.15 s
  nuc_47 → rockpi_10: 45.78 MB in 198.13 s
  nuc_47 → rockpi_12: 45.78 MB in 218.18 s
  nuc_47 → rockpi_14: 91.55 MB in 344.86 s
  nuc_47 → rockpi_15: 91.55 MB in 414.41 s
  nuc_47 → rockpi_17: 45.78 MB in 65.69 s
  nuc_47 → rockpi_18: 45.78 MB in 211.62 s
  nuc_47 → rockpi_19: 137.33 MB in 329.75 s
  nuc_47 → rockpi_2: 91.55 MB in 167.68 s
  nuc_47 → rockpi_20: 45.78 MB in 37.96 s
  nuc_47 → rockpi_21: 45.78 MB in 75.39 s
  nuc_47 → rockpi_23: 91.55 MB in 414.05 s
  nuc_47 → rockpi_25: 137.33 MB in 312.81 s
  nuc_47 → rockpi_26: 91.55 MB in 455.45 s
  nuc_47 → rockpi_27: 45.78 MB in 229.64 s
  nuc_47 → rockpi_28: 45.78 MB in 229.53 s
  nuc_47 → rockpi_29: 91.55 MB in 3.67 s
  nuc_47 → rockpi_3: 45.78 MB in 121.36 s
  nuc_47 → rockpi_31: 91.55 MB in 186.23 s
  nuc_47 → rockpi_32: 91.55 MB in 422.06 s
  nuc_47 → rockpi_33: 91.55 MB in 359.30 s
  nuc_47 → rockpi_36: 91.55 MB in 148.99 s
  nuc_47 → rockpi_37: 137.33 MB in 329.58 s
  nuc_47 → rockpi_38: 45.78 MB in 74.81 s
