FUNCTION DEPLOYMENT TIMELINE
============================

Report generated: 2025-07-21 16:01:09

Total deployment events: 2182
Number of node-function combinations: 646

Event Type Summary:
  Deployment events: 15
  Replica events: 1200
  Network events: 967

CHRONOLOGICAL TIMELINE
======================

t=  19.4s | network    | registry → rockpi_6  | unknown                   | docker_pull (182.2 MB)
t=  19.5s | network    | registry → rockpi_5  | unknown                   | docker_pull (182.2 MB)
t=  19.6s | network    | registry → rockpi_13 | unknown                   | docker_pull (182.2 MB)
t=  19.7s | network    | rpi4_34 → nuc_6      | unknown                   | data_download (55.3 MB)
t=  19.8s | network    | rpi4_34 → nuc_7      | unknown                   | data_download (55.3 MB)
t=  19.9s | network    | rpi4_34 → nuc_7      | unknown                   | data_download (55.3 MB)
t=  20.0s | replica    | rpi4_49              | speech-inference-downtown | startup replica of speech-inference-downtown
t=  20.0s | network    | rpi4_34 → nuc_7      | unknown                   | data_download (55.3 MB)
t=  20.1s | network    | rpi4_34 → nuc_7      | unknown                   | data_download (55.3 MB)
t=  20.2s | network    | rpi4_34 → rockpi_25  | unknown                   | data_download (45.8 MB)
t=  20.3s | network    | rpi4_34 → nuc_6      | unknown                   | data_download (55.3 MB)
t=  20.4s | network    | rpi4_34 → rpi3_17    | unknown                   | data_download (45.8 MB)
t=  20.5s | network    | rpi4_34 → nuc_6      | unknown                   | data_download (55.3 MB)
t=  20.6s | network    | rpi4_34 → rpi3_16    | unknown                   | data_download (45.8 MB)
t=  20.7s | network    | rpi4_34 → rockpi_25  | unknown                   | data_download (45.8 MB)
t=  20.8s | network    | registry → rpi3_24   | unknown                   | docker_pull (31.5 MB)
t=  20.9s | network    | registry → rockpi_5  | unknown                   | docker_pull (38.1 MB)
t=  21.0s | replica    | rpi4_49              | speech-inference-downtown | setup replica of speech-inference-downtown
t=  21.0s | network    | registry → rockpi_1  | unknown                   | docker_pull (38.1 MB)
t=  21.1s | network    | registry → rpi3_23   | unknown                   | docker_pull (66.8 MB)
t=  21.2s | network    | registry → rpi3_18   | unknown                   | docker_pull (66.8 MB)
t=  21.3s | network    | registry → rpi3_19   | unknown                   | docker_pull (66.8 MB)
t=  21.4s | network    | registry → rpi3_20   | unknown                   | docker_pull (66.8 MB)
t=  21.5s | network    | registry → rpi3_42   | unknown                   | docker_pull (66.8 MB)
t=  21.6s | network    | registry → rpi3_25   | unknown                   | docker_pull (130.7 MB)
t=  21.7s | network    | registry → rpi3_26   | unknown                   | docker_pull (130.7 MB)
t=  21.8s | network    | registry → rpi3_21   | unknown                   | docker_pull (130.7 MB)
t=  21.9s | network    | registry → rpi3_22   | unknown                   | docker_pull (130.7 MB)
t=  22.0s | replica    | rpi3_54              | speech-inference-suburb   | startup replica of speech-inference-suburb
t=  22.0s | network    | registry → rpi3_43   | unknown                   | docker_pull (31.5 MB)
t=  22.1s | network    | registry → rpi3_44   | unknown                   | docker_pull (31.5 MB)
t=  22.2s | network    | registry → rockpi_20 | unknown                   | docker_pull (38.1 MB)
t=  22.3s | network    | registry → rpi3_10   | unknown                   | docker_pull (66.8 MB)
t=  22.4s | network    | registry → rpi3_11   | unknown                   | docker_pull (66.8 MB)
t=  22.5s | network    | registry → rpi4_14   | unknown                   | docker_pull (66.8 MB)
t=  22.6s | network    | registry → rpi4_15   | unknown                   | docker_pull (66.8 MB)
t=  22.7s | network    | registry → rpi4_10   | unknown                   | docker_pull (66.8 MB)
t=  22.8s | network    | registry → rpi3_57   | unknown                   | docker_pull (130.7 MB)
t=  22.9s | network    | registry → rpi3_58   | unknown                   | docker_pull (130.7 MB)
t=  23.0s | replica    | rpi3_54              | speech-inference-suburb   | setup replica of speech-inference-suburb
t=  23.0s | network    | registry → rpi3_59   | unknown                   | docker_pull (130.7 MB)
t=  23.1s | network    | registry → rpi3_9    | unknown                   | docker_pull (130.7 MB)
t=  23.2s | network    | registry → rpi4_11   | unknown                   | docker_pull (31.5 MB)
t=  23.3s | network    | registry → rpi4_6    | unknown                   | docker_pull (31.5 MB)
t=  23.4s | network    | registry → rpi4_7    | unknown                   | docker_pull (31.5 MB)
t=  23.5s | network    | registry → rpi3_7    | unknown                   | docker_pull (66.8 MB)
t=  23.6s | network    | registry → rpi3_8    | unknown                   | docker_pull (66.8 MB)
t=  23.7s | network    | registry → rpi4_32   | unknown                   | docker_pull (66.8 MB)
t=  23.8s | network    | registry → rpi4_33   | unknown                   | docker_pull (66.8 MB)
t=  23.9s | network    | registry → rpi3_0    | unknown                   | docker_pull (66.8 MB)
t=  24.0s | replica    | rpi3_55              | speech-inference-industrial | startup replica of speech-inference-industrial
t=  24.0s | network    | registry → rockpi_29 | unknown                   | docker_pull (38.1 MB)
t=  24.1s | network    | rpi4_34 → coral_4    | unknown                   | data_download (45.8 MB)
t=  24.2s | network    | registry → rpi3_6    | unknown                   | docker_pull (130.7 MB)
t=  24.3s | network    | rpi4_34 → rockpi_10  | unknown                   | data_download (45.8 MB)
t=  24.4s | network    | rpi4_34 → rpi3_52    | unknown                   | data_download (98.2 MB)
t=  24.5s | network    | registry → rockpi_12 | unknown                   | docker_pull (182.2 MB)
t=  24.6s | network    | registry → rockpi_29 | unknown                   | docker_pull (182.2 MB)
t=  24.7s | network    | rpi4_34 → rockpi_10  | unknown                   | data_download (45.8 MB)
t=  24.8s | network    | rpi4_34 → nuc_9      | unknown                   | data_download (55.3 MB)
t=  24.9s | network    | rpi4_34 → nuc_9      | unknown                   | data_download (55.3 MB)
t=  25.0s | replica    | rpi3_55              | speech-inference-industrial | setup replica of speech-inference-industrial
t=  25.0s | network    | rpi4_34 → nuc_8      | unknown                   | data_download (55.3 MB)
t=  25.1s | network    | rpi4_34 → nuc_8      | unknown                   | data_download (55.3 MB)
t=  25.2s | network    | rpi4_34 → nuc_8      | unknown                   | data_download (55.3 MB)
t=  25.3s | network    | rpi4_34 → nuc_9      | unknown                   | data_download (55.3 MB)
t=  25.4s | network    | registry → rpi3_1    | unknown                   | docker_pull (31.5 MB)
t=  25.5s | network    | registry → rpi3_2    | unknown                   | docker_pull (31.5 MB)
t=  25.6s | network    | registry → rockpi_27 | unknown                   | docker_pull (38.1 MB)
t=  25.7s | network    | rpi4_34 → nuc_8      | unknown                   | data_download (55.3 MB)
t=  25.8s | network    | registry → rpi3_48   | unknown                   | docker_pull (66.8 MB)
t=  25.9s | network    | registry → rpi3_49   | unknown                   | docker_pull (66.8 MB)
t=  26.0s | replica    | rpi4_56              | resnet50-inference-residential | startup replica of resnet50-inference-residential
t=  26.0s | network    | registry → rpi3_50   | unknown                   | docker_pull (66.8 MB)
t=  26.1s | network    | registry → rpi4_40   | unknown                   | docker_pull (66.8 MB)
t=  26.2s | network    | registry → rpi4_41   | unknown                   | docker_pull (66.8 MB)
t=  26.3s | network    | rpi4_34 → nuc_9      | unknown                   | data_download (55.3 MB)
t=  26.4s | network    | registry → rpi3_3    | unknown                   | docker_pull (130.7 MB)
t=  26.5s | network    | registry → rpi3_4    | unknown                   | docker_pull (130.7 MB)
t=  26.6s | network    | registry → rpi3_5    | unknown                   | docker_pull (130.7 MB)
t=  26.7s | network    | registry → coral_1   | unknown                   | docker_pull (182.2 MB)
t=  26.8s | network    | rpi4_34 → rpi3_36    | unknown                   | data_download (98.2 MB)
t=  26.9s | network    | rpi4_34 → rpi3_38    | unknown                   | data_download (98.2 MB)
t=  27.0s | replica    | rpi4_56              | resnet50-inference-residential | setup replica of resnet50-inference-residential
t=  27.0s | network    | rpi4_34 → rpi3_37    | unknown                   | data_download (98.2 MB)
t=  27.1s | network    | rpi4_34 → rpi3_51    | unknown                   | data_download (98.2 MB)
t=  27.2s | network    | registry → rpi3_30   | unknown                   | docker_pull (31.5 MB)
t=  27.3s | network    | registry → rpi3_31   | unknown                   | docker_pull (31.5 MB)
