FAAS SIMULATION SUMMARY
======================

Report generated: 2025-07-23 14:32:44

Topology Overview:
  Number of nodes: 225
  Number of functions: 18
  Number of images: 3

Node Distribution:
  registry → rpi3_59: 31.47 MB in 0.28 s
  registry → rpi3_6: 66.76 MB in 0.58 s
  registry → rpi3_60: 31.47 MB in 0.28 s
  registry → rpi3_61: 31.47 MB in 0.28 s
  registry → rpi3_62: 31.47 MB in 0.28 s
  registry → rpi3_63: 66.76 MB in 0.58 s
  registry → rpi3_64: 66.76 MB in 0.58 s
  registry → rpi3_65: 66.76 MB in 0.58 s
  registry → rpi3_66: 31.47 MB in 0.31 s
  registry → rpi3_67: 31.47 MB in 0.31 s
  registry → rpi3_68: 130.65 MB in 1.17 s
  registry → rpi3_69: 98.23 MB in 0.86 s
  registry → rpi3_7: 66.76 MB in 0.58 s
  registry → rpi3_70: 98.23 MB in 0.86 s
  registry → rpi3_71: 98.23 MB in 0.86 s
  registry → rpi3_72: 130.65 MB in 1.13 s
