FAAS SIMULATION SUMMARY
======================

Report generated: 2025-07-31 17:00:27

Topology Overview:
  Number of nodes: 425
  Number of functions: 7
  Number of images: 2

Node Distribution:
  registry → rockpi_13: 59.13 MB in 0.51 s
  registry → rockpi_130: 59.13 MB in 0.51 s
  registry → rockpi_132: 59.13 MB in 0.51 s
  registry → rockpi_133: 59.13 MB in 0.51 s
  registry → rockpi_134: 59.13 MB in 0.51 s
  registry → rockpi_135: 59.13 MB in 0.51 s
  registry → rockpi_15: 59.13 MB in 0.51 s
  registry → rockpi_16: 59.13 MB in 0.51 s
  registry → rockpi_17: 59.13 MB in 0.51 s
  registry → rockpi_18: 59.13 MB in 0.51 s
  registry → rockpi_20: 59.13 MB in 0.51 s
  registry → rockpi_21: 59.13 MB in 0.51 s
  registry → rockpi_22: 59.13 MB in 0.51 s
  registry → rockpi_23: 59.13 MB in 0.51 s
  registry → rockpi_26: 59.13 MB in 0.51 s
  registry → rockpi_27: 59.13 MB in 0.51 s
  registry → rockpi_29: 59.13 MB in 0.51 s
  registry → rockpi_3: 59.13 MB in 0.51 s
  registry → rockpi_31: 59.13 MB in 0.51 s
  registry → rockpi_33: 59.13 MB in 0.51 s
  registry → rockpi_34: 59.13 MB in 0.51 s
  registry → rockpi_35: 59.13 MB in 0.51 s
  registry → rockpi_4: 59.13 MB in 0.51 s
  registry → rockpi_40: 59.13 MB in 0.51 s
  registry → rockpi_42: 59.13 MB in 0.51 s
  registry → rockpi_43: 59.13 MB in 0.51 s
  registry → rockpi_45: 59.13 MB in 0.51 s
  registry → rockpi_49: 59.13 MB in 0.51 s
  registry → rockpi_5: 59.13 MB in 0.51 s
  registry → rockpi_50: 59.13 MB in 0.51 s
  registry → rockpi_51: 59.13 MB in 0.51 s
  registry → rockpi_52: 59.13 MB in 0.51 s
  registry → rockpi_53: 59.13 MB in 0.51 s
  registry → rockpi_54: 59.13 MB in 0.51 s
  registry → rockpi_55: 59.13 MB in 0.51 s
  registry → rockpi_6: 59.13 MB in 0.51 s
  registry → rockpi_60: 59.13 MB in 0.51 s
